SourceRefId;SourceID;RefId
9020905180;90209;05180
9021100223;90211;00223
9021105165;90211;05165
9021400262;90214;00262
9022200328;90222;00328
9022200404;90222;00404
9022400329;90224;00329
9022400348;90224;00348
9022700331;90227;00331
9022700348;90227;00348
9023000333;90230;00333
9023000348;90230;00348
9023100333;90231;00333
9023100348;90231;00348
9023105158;90231;05158
9023200333;90232;00333
9023205158;90232;05158
9023600161;90236;00161
9023600348;90236;00348
9023605184;90236;05184
9023700333;90237;00333
9023700348;90237;00348
9023800348;90238;00348
9023805158;90238;05158
9023805184;90238;05184
9023900348;90239;00348
9023905184;90239;05184
9024900403;90249;00403
9024902016;90249;02016
9024905199;90249;05199
9025000403;90250;00403
9025005148;90250;05148
9025100403;90251;00403
9025105148;90251;05148
9025105182;90251;05182
9025200403;90252;00403
9025205182;90252;05182
9025300403;90253;00403
9025305182;90253;05182
9025305199;90253;05199
9025400403;90254;00403
9025405199;90254;05199
9025600404;90256;00404
9025605237;90256;05237
9025800407;90258;00407
9025802000;90258;02000
9025900407;90259;00407
9025902000;90259;02000
9025905155;90259;05155
9026000407;90260;00407
9026005158;90260;05158
9026005174;90260;05174
9026100407;90261;00407
9026105174;90261;05174
9026200407;90262;00407
9026205186;90262;05186
9026205229;90262;05229
9026300407;90263;00407
9026305229;90263;05229
9026400407;90264;00407
9026405229;90264;05229
9030600817;90306;00817
9030605179;90306;05179
9031700905;90317;00905
9031705179;90317;05179
9036802000;90368;02000
9036805147;90368;05147
9036805228;90368;05228
9036805251;90368;05251
9036902000;90369;02000
9036905147;90369;05147
9036905251;90369;05251
9037002000;90370;02000
9037005152;90370;05152
9037005246;90370;05246
9037102000;90371;02000
9037105155;90371;05155
9037202000;90372;02000
9037205155;90372;05155
9037205186;90372;05186
9037302000;90373;02000
9037305157;90373;05157
9037402000;90374;02000
9037405157;90374;05157
9037502000;90375;02000
9037505174;90375;05174
9037602000;90376;02000
9037605179;90376;05179
9038602047;90386;02047
9038605191;90386;05191
9038605230;90386;05230
9038605255;90386;05255
9039502073;90395;02073
9039505250;90395;05250
9040102100;90401;02100
9040105157;90401;05157
9040202100;90402;02100
9040205157;90402;05157
9040302100;90403;02100
9040305183;90403;05183
9041305141;90413;05141
9041305143;90413;05143
9041405141;90414;05141
9041405148;90414;05148
9041505141;90415;05141
9041505165;90415;05165
9041705142;90417;05142
9041705189;90417;05189
9041905143;90419;05143
9041905174;90419;05174
9042005143;90420;05143
9042005185;90420;05185
9042305145;90423;05145
9042305163;90423;05163
9042405146;90424;05146
9042405245;90424;05245
9042405248;90424;05248
9042505147;90425;05147
9042505228;90425;05228
9042505244;90425;05244
9042505251;90425;05251
9042605147;90426;05147
9042605228;90426;05228
9042605251;90426;05251
9042705147;90427;05147
9042705251;90427;05251
9042905148;90429;05148
9042905165;90429;05165
9043005148;90430;05148
9043005165;90430;05165
9043005182;90430;05182
9043305152;90433;05152
9043305179;90433;05179
9043405152;90434;05152
9043405179;90434;05179
9043405246;90434;05246
9043505152;90435;05152
9043505230;90435;05230
9043505246;90435;05246
9043605152;90436;05152
9043605246;90436;05246
9043805155;90438;05155
9043805186;90438;05186
9043905155;90439;05155
9043905186;90439;05186
9043905253;90439;05253
9044005155;90440;05155
9044005253;90440;05253
9044305158;90443;05158
9044305163;90443;05163
9044405158;90444;05158
9044405165;90444;05165
9044505158;90445;05158
9044505165;90445;05165
9044505174;90445;05174
9044605158;90446;05158
9044605174;90446;05174
9044705158;90447;05158
9044705179;90447;05179
9044805158;90448;05158
9044805179;90448;05179
9044805181;90448;05181
9044905158;90449;05158
9044905180;90449;05180
9045105160;90451;05160
9045105181;90451;05181
9045505165;90455;05165
9045605165;90456;05165
9045605174;90456;05174
9045705165;90457;05165
9045705178;90457;05178
9045805165;90458;05165
9045805182;90458;05182
9045905165;90459;05165
9045905182;90459;05182
9045905199;90459;05199
9046105172;90461;05172
9046105180;90461;05180
9046805179;90468;05179
9046805181;90468;05181
9047005180;90470;05180
9047005185;90470;05185
9047205182;90472;05182
9047205199;90472;05199
9047405183;90474;05183
9047405254;90474;05254
9047505183;90475;05183
9047505254;90475;05254
9047505272;90475;05272
9047905186;90479;05186
9047905229;90479;05229
9047905253;90479;05253
9048105187;90481;05187
9048105238;90481;05238
9048205188;90482;05188
9048205235;90482;05235
9048205252;90482;05252
9048305188;90483;05188
9048305252;90483;05252
9048505189;90485;05189
9048505190;90485;05190
9048805191;90488;05191
9048805230;90488;05230
9048905191;90489;05191
9048905230;90489;05230
9048905255;90489;05255
9049005191;90490;05191
9049005230;90490;05230
9049005255;90490;05255
9049005256;90490;05256
9049105191;90491;05191
9049105230;90491;05230
9049105256;90491;05256
9049205191;90492;05191
9049205255;90492;05255
9049305191;90493;05191
9049305255;90493;05255
9049305256;90493;05256
9049405191;90494;05191
9049405256;90494;05256
9049505191;90495;05191
9049505256;90495;05256
9049505285;90495;05285
9049505286;90495;05286
9049605191;90496;05191
9049605256;90496;05256
9049605286;90496;05286
9049705193;90497;05193
9049705194;90497;05194
9049705196;90497;05196
9050705226;90507;05226
9050705228;90507;05228
9050705247;90507;05247
9050705249;90507;05249
9050805226;90508;05226
9050805228;90508;05228
9050805249;90508;05249
9050905226;90509;05226
9050905249;90509;05249
9051205228;90512;05228
9051205244;90512;05244
9051205251;90512;05251
9051305228;90513;05228
9051305247;90513;05247
9051305249;90513;05249
9051405228;90514;05228
9051405249;90514;05249
9051405266;90514;05266
9051505228;90515;05228
9051505251;90515;05251
9051705229;90517;05229
9051705253;90517;05253
9051905230;90519;05230
9051905255;90519;05255
9052005230;90520;05230
9052005255;90520;05255
9052005256;90520;05256
9052105230;90521;05230
9052105255;90521;05255
9052105256;90521;05256
9052105286;90521;05286
9052205230;90522;05230
9052205256;90522;05256
9052305230;90523;05230
9052305279;90523;05279
9052905245;90529;05245
9052905248;90529;05248
9053605254;90536;05254
9053705254;90537;05254
9053705272;90537;05272
9053905255;90539;05255
9053905286;90539;05286
9055105280;90551;05280
9055105281;90551;05281
9055205280;90552;05280
9055205281;90552;05281
9055205282;90552;05282
9055405285;90554;05285
9055405286;90554;05286
G0419G0419;G0419;G0419
S1201S1201;S1201;S1201
S1202S1202;S1202;S1202
S2004S2004;S2004;S2004
S2017S2017;S2017;S2017
S2019S2019;S2019;S2019
S2022S2022;S2022;S2022
S2025S2025;S2025;S2025
S2033S2033;S2033;S2033
T0002T0002;T0002;T0002
T0003T0003;T0003;T0003
T0005T0005;T0005;T0005
T0006T0006;T0006;T0006
T0007T0007;T0007;T0007
T0008T0008;T0008;T0008
T0009T0009;T0009;T0009
T0010T0010;T0010;T0010
T0013T0013;T0013;T0013
T0017T0017;T0017;T0017
T0020T0020;T0020;T0020
T0025T0025;T0025;T0025
T0028T0028;T0028;T0028
T0029T0029;T0029;T0029
T0030T0030;T0030;T0030
T0031T0031;T0031;T0031
T0032T0032;T0032;T0032
T0033T0033;T0033;T0033
T0034T0034;T0034;T0034
T0036T0036;T0036;T0036
T0037T0037;T0037;T0037
T0038T0038;T0038;T0038
T0039T0039;T0039;T0039
T0040T0040;T0040;T0040
T0043T0043;T0043;T0043
T0049T0049;T0049;T0049
T0056T0056;T0056;T0056
T0059T0059;T0059;T0059
T0061T0061;T0061;T0061
T0063T0063;T0063;T0063
T0064T0064;T0064;T0064
T0065T0065;T0065;T0065
T0066T0066;T0066;T0066
T0068T0068;T0068;T0068
T0069T0069;T0069;T0069
T0070T0070;T0070;T0070
T0072T0072;T0072;T0072
T0074T0074;T0074;T0074
T0076T0076;T0076;T0076
T0077T0077;T0077;T0077
T0079T0079;T0079;T0079
T0083T0083;T0083;T0083
T0084T0084;T0084;T0084
T0087T0087;T0087;T0087
T0089T0089;T0089;T0089
T0091T0091;T0091;T0091
T0093T0093;T0093;T0093
T0094T0094;T0094;T0094
T0096T0096;T0096;T0096
T0100T0100;T0100;T0100
T0105T0105;T0105;T0105
T0106T0106;T0106;T0106
T0110T0110;T0110;T0110
T0111T0111;T0111;T0111
T0112T0112;T0112;T0112
T0114T0114;T0114;T0114
T0115T0115;T0115;T0115
T0118T0118;T0118;T0118
T0121T0121;T0121;T0121
T0124T0124;T0124;T0124
T0128T0128;T0128;T0128
T0129T0129;T0129;T0129
T0131T0131;T0131;T0131
T0132T0132;T0132;T0132
T0133T0133;T0133;T0133
T0134T0134;T0134;T0134
T0135T0135;T0135;T0135
T0136T0136;T0136;T0136
T0137T0137;T0137;T0137
T0138T0138;T0138;T0138
T0141T0141;T0141;T0141
T0142T0142;T0142;T0142
T0143T0143;T0143;T0143
T0144T0144;T0144;T0144
T0148T0148;T0148;T0148
T0150T0150;T0150;T0150
T0151T0151;T0151;T0151
T0156T0156;T0156;T0156
T0157T0157;T0157;T0157
T0159T0159;T0159;T0159
T0160T0160;T0160;T0160
T0163T0163;T0163;T0163
T0164T0164;T0164;T0164
T0165T0165;T0165;T0165
T0166T0166;T0166;T0166
T0168T0168;T0168;T0168
T0169T0169;T0169;T0169
T0170T0170;T0170;T0170
T0172T0172;T0172;T0172
T0173T0173;T0173;T0173
T0174T0174;T0174;T0174
T0175T0175;T0175;T0175
T0176T0176;T0176;T0176
T0177T0177;T0177;T0177
T0179T0179;T0179;T0179
T0181T0181;T0181;T0181
T0183T0183;T0183;T0183
T0184T0184;T0184;T0184
T0185T0185;T0185;T0185
T0187T0187;T0187;T0187
T0189T0189;T0189;T0189
T0190T0190;T0190;T0190
T0193T0193;T0193;T0193
T0194T0194;T0194;T0194
T0196T0196;T0196;T0196
T0197T0197;T0197;T0197
T0198T0198;T0198;T0198
T0199T0199;T0199;T0199
T0200T0200;T0200;T0200
T0201T0201;T0201;T0201
T0202T0202;T0202;T0202
T0203T0203;T0203;T0203
T0206T0206;T0206;T0206
T0208T0208;T0208;T0208
T0209T0209;T0209;T0209
T0214T0214;T0214;T0214
T0216T0216;T0216;T0216
T0217T0217;T0217;T0217
T0218T0218;T0218;T0218
T0220T0220;T0220;T0220
T0221T0221;T0221;T0221
T0223T0223;T0223;T0223
T0224T0224;T0224;T0224
T0225T0225;T0225;T0225
T0230T0230;T0230;T0230
T0232T0232;T0232;T0232
T0233T0233;T0233;T0233
T0234T0234;T0234;T0234
T0235T0235;T0235;T0235
T0236T0236;T0236;T0236
T0237T0237;T0237;T0237
T0239T0239;T0239;T0239
T0240T0240;T0240;T0240
T0242T0242;T0242;T0242
T0243T0243;T0243;T0243
T0246T0246;T0246;T0246
T0247T0247;T0247;T0247
T0248T0248;T0248;T0248
T0249T0249;T0249;T0249
T0251T0251;T0251;T0251
T0252T0252;T0252;T0252
T0254T0254;T0254;T0254
T0255T0255;T0255;T0255
T0256T0256;T0256;T0256
T0257T0257;T0257;T0257
T0258T0258;T0258;T0258
T0259T0259;T0259;T0259
T0260T0260;T0260;T0260
T0261T0261;T0261;T0261
T0263T0263;T0263;T0263
T0265T0265;T0265;T0265
T0269T0269;T0269;T0269
T0272T0272;T0272;T0272
T0274T0274;T0274;T0274
T0275T0275;T0275;T0275
T0278T0278;T0278;T0278
T0281T0281;T0281;T0281
T0282T0282;T0282;T0282
T0284T0284;T0284;T0284
T0285T0285;T0285;T0285
T0286T0286;T0286;T0286
T0287T0287;T0287;T0287
T0288T0288;T0288;T0288
T0289T0289;T0289;T0289
T0290T0290;T0290;T0290
T0291T0291;T0291;T0291
T0292T0292;T0292;T0292
T0293T0293;T0293;T0293
T0294T0294;T0294;T0294
T0295T0295;T0295;T0295
T0296T0296;T0296;T0296
T0297T0297;T0297;T0297
T0301T0301;T0301;T0301
T0306T0306;T0306;T0306
T0307T0307;T0307;T0307
T0308T0308;T0308;T0308
T0309T0309;T0309;T0309
T0310T0310;T0310;T0310
T0312T0312;T0312;T0312
T0313T0313;T0313;T0313
T0314T0314;T0314;T0314
T0315T0315;T0315;T0315
T0316T0316;T0316;T0316
T0317T0317;T0317;T0317
T0318T0318;T0318;T0318
T0319T0319;T0319;T0319
T0320T0320;T0320;T0320
T0321T0321;T0321;T0321
T0322T0322;T0322;T0322
T0323T0323;T0323;T0323
T0324T0324;T0324;T0324
T0325T0325;T0325;T0325
T0326T0326;T0326;T0326
T0329T0329;T0329;T0329
T0332T0332;T0332;T0332
T0333T0333;T0333;T0333
T0335T0335;T0335;T0335
T0336T0336;T0336;T0336
T0339T0339;T0339;T0339
T0340T0340;T0340;T0340
T0342T0342;T0342;T0342
T0343T0343;T0343;T0343
T0347T0347;T0347;T0347
T0349T0349;T0349;T0349
T0350T0350;T0350;T0350
T0352T0352;T0352;T0352
T0353T0353;T0353;T0353
T0354T0354;T0354;T0354
T0357T0357;T0357;T0357
T0358T0358;T0358;T0358
T0359T0359;T0359;T0359
T0363T0363;T0363;T0363
T0369T0369;T0369;T0369
T0371T0371;T0371;T0371
T0372T0372;T0372;T0372
T0374T0374;T0374;T0374
T0378T0378;T0378;T0378
T0379T0379;T0379;T0379
T0380T0380;T0380;T0380
T0381T0381;T0381;T0381
T0382T0382;T0382;T0382
T0384T0384;T0384;T0384
T0386T0386;T0386;T0386
T0388T0388;T0388;T0388
T0390T0390;T0390;T0390
T0402T0402;T0402;T0402
T0421T0421;T0421;T0421
T0422T0422;T0422;T0422
T0423T0423;T0423;T0423
T0433T0433;T0433;T0433
T0436T0436;T0436;T0436
T0441T0441;T0441;T0441
T0443T0443;T0443;T0443
T0444T0444;T0444;T0444
T0446T0446;T0446;T0446
T0454T0454;T0454;T0454
T0461T0461;T0461;T0461
T0463T0463;T0463;T0463
T0469T0469;T0469;T0469
T0470T0470;T0470;T0470
T0471T0471;T0471;T0471
T0472T0472;T0472;T0472
T0473T0473;T0473;T0473
T0474T0474;T0474;T0474
T0500T0500;T0500;T0500
T0522T0522;T0522;T0522
T0525T0525;T0525;T0525
T0528T0528;T0528;T0528
T0529T0529;T0529;T0529
T0530T0530;T0530;T0530
T0531T0531;T0531;T0531
T0533T0533;T0533;T0533
T0535T0535;T0535;T0535
T0536T0536;T0536;T0536
T0537T0537;T0537;T0537
T0538T0538;T0538;T0538
T0540T0540;T0540;T0540
T0541T0541;T0541;T0541
T0542T0542;T0542;T0542
T0548T0548;T0548;T0548
T0572T0572;T0572;T0572
T0582T0582;T0582;T0582
T0655T0655;T0655;T0655
T0657T0657;T0657;T0657
T0732T0732;T0732;T0732
T0733T0733;T0733;T0733
T0735T0735;T0735;T0735
T0754T0754;T0754;T0754
T0758T0758;T0758;T0758
T0764T0764;T0764;T0764
T0765T0765;T0765;T0765
T0779T0779;T0779;T0779
T0814T0814;T0814;T0814
T0815T0815;T0815;T0815
T0817T0817;T0817;T0817
T0863T0863;T0863;T0863
T0876T0876;T0876;T0876
T0879T0879;T0879;T0879
T0882T0882;T0882;T0882
T0883T0883;T0883;T0883
T0888T0888;T0888;T0888
T0896T0896;T0896;T0896
T0898T0898;T0898;T0898
T0899T0899;T0899;T0899
T0900T0900;T0900;T0900
T0919T0919;T0919;T0919
T0921T0921;T0921;T0921
T0923T0923;T0923;T0923
T0924T0924;T0924;T0924
T0925T0925;T0925;T0925
T0926T0926;T0926;T0926
T0927T0927;T0927;T0927
T0928T0928;T0928;T0928
T0929T0929;T0929;T0929
T0933T0933;T0933;T0933
T0986T0986;T0986;T0986
T0988T0988;T0988;T0988
T0999T0999;T0999;T0999
T1004T1004;T1004;T1004
T1007T1007;T1007;T1007
T1009T1009;T1009;T1009
T1019T1019;T1019;T1019
T1025T1025;T1025;T1025
T1041T1041;T1041;T1041
T1042T1042;T1042;T1042
T1077T1077;T1077;T1077
T1078T1078;T1078;T1078
T1087T1087;T1087;T1087
T1090T1090;T1090;T1090
T1104T1104;T1104;T1104
T1105T1105;T1105;T1105
T1106T1106;T1106;T1106
T1115T1115;T1115;T1115
T1131T1131;T1131;T1131
T1133T1133;T1133;T1133
T1142T1142;T1142;T1142
T1147T1147;T1147;T1147
T1148T1148;T1148;T1148
T1151T1151;T1151;T1151
T1247T1247;T1247;T1247
T1273T1273;T1273;T1273
T1298T1298;T1298;T1298
T1304T1304;T1304;T1304
T1310T1310;T1310;T1310
T1317T1317;T1317;T1317
T1344T1344;T1344;T1344
T1456T1456;T1456;T1456
T1463T1463;T1463;T1463
T1465T1465;T1465;T1465
T1467T1467;T1467;T1467
T1473T1473;T1473;T1473
T1491T1491;T1491;T1491
T2005T2005;T2005;T2005
